function evaluations§best§chromosome§runtime in seconds
2§3.293423§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4]))§0.001130474
30§3.226297§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 3, 13, 2, 1, 6, 7, 14]))§0.005783087
34§3.1052182§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 3, 13, 2, 1, 6, 7]))§0.006307401
37§3.0386496§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 3, 13, 2, 1, 7]))§0.006719389
152§3.0307274§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([13, 14, 3, 10, 7]))§0.016740149
157§2.9970322§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2, 14, 3, 10]))§0.01722112
12191§2.977572§Chromosome(steinerPoints=[(0.72473097, 0.11359743), (0.5650318, 0.113783374), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.7902145, 0.09126289), (0.17710179, 0.048881702), (0.16392884, 0.2098208)], includedObstacleCornersIndices=set([3, 14]))§3.4637291
12239§2.9570637§Chromosome(steinerPoints=[(0.72473097, 0.11359743), (0.16392884, 0.2098208), (0.1376237, 0.12834434), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.79099566, 0.016894497), (0.7902145, 0.09126289), (0.17710179, 0.048881702)], includedObstacleCornersIndices=set([3, 14]))§3.4717865
13775§2.8137598§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.15599938, 0.12384212), (0.30010015, 0.03954552), (0.17252496, 0.20210153), (0.16733947, 0.12935416)], includedObstacleCornersIndices=set([3, 14]))§3.737349
14099§2.8129845§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.6849286, 0.15061457), (0.16733947, 0.12935416), (0.30010015, 0.03954552), (0.17252496, 0.20210153), (0.3584691, 0.6710642)], includedObstacleCornersIndices=set([3, 14]))§3.7897868
14361§2.8068995§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.16733947, 0.12935416), (0.30010015, 0.03954552), (0.17252496, 0.20210153), (0.81262505, 0.18788071)], includedObstacleCornersIndices=set([3, 14]))§3.8343272
23022§2.8030338§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.30010015, 0.03954552), (0.3360392, 0.16146943)], includedObstacleCornersIndices=set([3, 14]))§5.235162
23049§2.8024282§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3360392, 0.16146943)], includedObstacleCornersIndices=set([3, 14]))§5.23956
23204§2.799117§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3360392, 0.16146943), (0.3516224, 0.1403605)], includedObstacleCornersIndices=set([3, 14]))§5.26211
23241§2.7986374§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3516224, 0.1403605)], includedObstacleCornersIndices=set([3, 14]))§5.267608
23263§2.79769§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3516224, 0.1403605), (0.3391001, 0.137847)], includedObstacleCornersIndices=set([3, 14]))§5.2711844
23317§2.797289§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3391001, 0.137847), (0.25608465, 0.22323452)], includedObstacleCornersIndices=set([3, 14]))§5.279344
162509§2.797289§Chromosome(steinerPoints=[(0.09678422, 0.8719702), (0.7493541, 0.11702233), (0.81878525, 0.16118999), (0.27427036, 0.9034808), (0.3584691, 0.6710642), (0.17252496, 0.20210153), (0.3391001, 0.137847), (0.25608465, 0.22323452)], includedObstacleCornersIndices=set([3, 14]))§26.617613
