generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1000000000§3.2284722§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 18, 17, 0, 19, 23, 4, 24, 10, 14, 12, 11, 8, 27]))§673§0.3842774
4§180000020§3.1431642§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([17, 16, 18, 21, 19, 20, 9, 25, 26, 27, 14, 11, 5, 6, 4]))§1177§0.43929562
83§300000000§2.7967563§Chromosome(steinerPoints=[(0.62130386, 0.5001283), (0.49953556, 0.4955666)], includedObstacleCornersIndices=set([24, 13, 14, 6, 9, 18, 17, 5, 20]))§14997§1.4242151
92§359999970§2.7929916§Chromosome(steinerPoints=[(0.8664198, 0.7800133), (0.66950476, 0.44176883), (0.62130386, 0.5001283), (0.49953556, 0.4955666)], includedObstacleCornersIndices=set([14, 13, 24, 6, 9, 18, 17, 5, 20]))§16628§1.5473995
93§260000020§2.7888417§Chromosome(steinerPoints=[(0.62130386, 0.5001283), (0.49953556, 0.4955666), (0.8664198, 0.7800133)], includedObstacleCornersIndices=set([24, 6, 9, 18, 17, 5, 20, 14, 13]))§16810§1.5613639
96§379999970§2.7854664§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.49953556, 0.4955666), (0.38221806, 0.1862782)], includedObstacleCornersIndices=set([14, 13, 24, 9, 5, 17, 18, 6, 20]))§17359§1.6053666
100§459999940§2.7847905§Chromosome(steinerPoints=[(0.49953556, 0.4955666), (0.66950476, 0.44176883), (0.663623, 0.5016872), (0.8664198, 0.7800133)], includedObstacleCornersIndices=set([18, 17, 24, 20, 6, 5, 9, 14, 13]))§18093§1.6611202
103§439999940§2.7775517§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.8664198, 0.7800133)], includedObstacleCornersIndices=set([24, 9, 5, 6, 18, 17, 20, 14, 13]))§18644§1.7042912
107§479999870§2.7725704§Chromosome(steinerPoints=[(0.8664198, 0.7800133), (0.62130386, 0.5001283), (0.49953556, 0.4955666), (0.38221806, 0.1862782)], includedObstacleCornersIndices=set([14, 13, 24, 9, 5, 6, 20, 18, 17]))§19382§1.762448
111§399999940§2.7685192§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.663623, 0.5016872), (0.8664198, 0.7800133), (0.49953556, 0.4955666), (0.38221806, 0.1862782)], includedObstacleCornersIndices=set([24, 14, 13, 9, 5, 6, 20, 18, 17]))§20127§1.8232737
116§379999940§2.7674253§Chromosome(steinerPoints=[(0.66950476, 0.44176883), (0.663623, 0.5016872), (0.8664198, 0.7800133), (0.49953556, 0.4955666), (0.38221806, 0.1862782)], includedObstacleCornersIndices=set([17, 14, 13, 5, 6, 20, 18]))§21053§1.9090685
124§359999970§2.7666295§Chromosome(steinerPoints=[(0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.8664198, 0.7800133), (0.663623, 0.5016872)], includedObstacleCornersIndices=set([18, 17, 5, 6, 20, 13, 14]))§22563§2.0367057
126§459999940§2.7654505§Chromosome(steinerPoints=[(0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.8664198, 0.7800133), (0.6796947, 0.4738317)], includedObstacleCornersIndices=set([20, 5, 6, 14, 18, 13, 17]))§22940§2.0692267
148§619999800§2.762782§Chromosome(steinerPoints=[(0.8664198, 0.7800133), (0.6796947, 0.4738317), (0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.8797408, 0.81053257)], includedObstacleCornersIndices=set([14, 13, 5, 6, 20, 18, 17]))§27110§2.4161227
159§479999900§2.7546601§Chromosome(steinerPoints=[(0.38221806, 0.1862782), (0.6796947, 0.4738317), (0.8817573, 0.78227484), (0.49953556, 0.4955666)], includedObstacleCornersIndices=set([14, 13, 5, 6, 18, 17, 20]))§29242§2.5800273
203§559999940§2.7536438§Chromosome(steinerPoints=[(0.6796947, 0.4738317), (0.8817573, 0.78227484), (0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.8884996, 0.79122823)], includedObstacleCornersIndices=set([13, 14, 5, 18, 17, 6, 20]))§37895§3.2304525
240§559999800§2.7528405§Chromosome(steinerPoints=[(0.6796947, 0.4738317), (0.8884996, 0.79122823), (0.49953556, 0.4955666), (0.38221806, 0.1862782), (0.67818624, 0.47848946)], includedObstacleCornersIndices=set([18, 17, 13, 14, 5, 6, 20]))§45504§3.783842
264§479999870§2.7522225§Chromosome(steinerPoints=[(0.8884996, 0.79122823), (0.6796947, 0.4738317), (0.67818624, 0.47848946), (0.38221806, 0.1862782), (0.49953556, 0.4955666), (0.46943575, 0.4908076)], includedObstacleCornersIndices=set([13, 14, 20, 5, 6, 18, 17]))§50512§4.1618986
299§539999900§2.7498817§Chromosome(steinerPoints=[(0.8884996, 0.79122823), (0.67818624, 0.47848946), (0.46943575, 0.4908076), (0.38221806, 0.1862782), (0.10997847, 0.1749571)], includedObstacleCornersIndices=set([14, 13, 6, 20, 5, 18, 17]))§57956§4.7163005
356§699999740§2.7495823§Chromosome(steinerPoints=[(0.8884996, 0.79122823), (0.38221806, 0.1862782), (0.46943575, 0.4908076), (0.67818624, 0.47848946), (0.10997847, 0.1749571), (0.89158034, 0.7812085)], includedObstacleCornersIndices=set([20, 6, 14, 5, 13, 18, 17]))§70630§5.681377
444§439999900§2.7491837§Chromosome(steinerPoints=[(0.89158034, 0.7812085), (0.67818624, 0.47848946), (0.46943575, 0.4908076), (0.38221806, 0.1862782), (0.10997847, 0.1749571), (0.48767883, 0.4760791)], includedObstacleCornersIndices=set([13, 14, 5, 18, 6, 20, 17]))§90934§7.304598
459§759999700§2.7485797§Chromosome(steinerPoints=[(0.67818624, 0.47848946), (0.89158034, 0.7812085), (0.48767883, 0.4760791), (0.38221806, 0.1862782), (0.10997847, 0.1749571)], includedObstacleCornersIndices=set([13, 14, 5, 18, 6, 20, 17]))§94396§7.6144
500§399999940§2.7482333§Chromosome(steinerPoints=[(0.10997847, 0.1749571), (0.38221806, 0.1862782), (0.48767883, 0.4760791), (0.67818624, 0.47848946), (0.89158034, 0.7812085), (0.37983894, 0.16461268)], includedObstacleCornersIndices=set([17, 18, 6, 20, 5, 13, 14]))§103938§8.387742
585§519999900§2.7471805§Chromosome(steinerPoints=[(0.48767883, 0.4760791), (0.67818624, 0.47848946), (0.10997847, 0.1749571), (0.37983894, 0.16461268), (0.89158034, 0.7812085), (0.3872459, 0.17268282)], includedObstacleCornersIndices=set([17, 18, 5, 20, 6, 14, 13]))§123634§9.9477215
593§819999700§2.7464244§Chromosome(steinerPoints=[(0.10997847, 0.1749571), (0.48767883, 0.4760791), (0.67818624, 0.47848946), (0.3872459, 0.17268282), (0.89158034, 0.7812085)], includedObstacleCornersIndices=set([17, 18, 5, 14, 13, 6, 20]))§125529§10.096548
715§559999900§2.745785§Chromosome(steinerPoints=[(0.48767883, 0.4760791), (0.3872459, 0.17268282), (0.67818624, 0.47848946), (0.10997847, 0.1749571), (0.89158034, 0.7812085), (0.395294, 0.17722031)], includedObstacleCornersIndices=set([5, 20, 6, 17, 18, 14, 13]))§153842§12.333254
959§559999900§2.7451968§Chromosome(steinerPoints=[(0.10997847, 0.1749571), (0.89158034, 0.7812085), (0.48767883, 0.4760791), (0.395294, 0.17722031), (0.6673737, 0.4899571)], includedObstacleCornersIndices=set([14, 13, 5, 18, 17, 20, 6]))§210553§16.857624
1460§539999800§2.744939§Chromosome(steinerPoints=[(0.89158034, 0.7812085), (0.66789484, 0.4890406), (0.395294, 0.17722031), (0.48573476, 0.47897333), (0.10997847, 0.1749571)], includedObstacleCornersIndices=set([14, 13, 20, 5, 6, 17, 18]))§326875§25.703928
